,query_id,engine,latency,status
0,0,postgres,0.0408635139465332,ok
1,1,clickhouse,0.020367145538330078,error
2,2,postgres,0.0182342529296875,ok
3,3,postgres,0.00699162483215332,ok
4,4,clickhouse,0.006587505340576172,error
5,5,postgres,0.004438638687133789,ok
6,6,postgres,0.004631519317626953,ok
7,7,postgres,0.008643388748168945,ok
8,8,clickhouse,0.008447408676147461,error
9,9,clickhouse,0.008789539337158203,error
10,10,postgres,0.009833574295043945,ok
11,11,postgres,0.009163141250610352,ok
12,12,clickhouse,0.010202646255493164,error
13,13,postgres,0.00971531867980957,ok
14,14,clickhouse,0.008731603622436523,error
15,15,clickhouse,0.006623268127441406,error
16,16,postgres,0.005144834518432617,ok
17,17,clickhouse,0.008307456970214844,error
18,18,postgres,0.008909940719604492,ok
19,19,postgres,0.009885787963867188,ok
